area-number,character-area,date,weather,topography,topography-text,layout,layout-text,spaces,spaces-text,greenery,greenery-text,wildlife,wildlife-text,roads,roads-text,landmarks,landmarks-text,views-out-text,views-in-text,buildings,buildings-text,roofs,roofs-text,materials,materials-text,details,details-text,positive-text,negative-text
5,KEYNSHAM RUGBY CLUB,,,flat,,buildings-close-to-the-road,,green-spaces places-where-local-events-take-place,,areas-of-intense-greenery,,,,,,,CADBURYS FACTORY,,VIEWS OUT ACROSS KEYNSHAM BY-PASS,wide-frontages,,pitched-roofs shallow-pitch,"THE RUGBY CLUB FACILITIES HAVE A SHALLOW PITCH, THE FOOTBALL PITCH CLUB ROOF HAS A SINGLE PITCH",hedges fences,ON EMBANKMENT ON THE BY-PASS SIDE,,RUGBY CLUB HAS LOW PITCHED ROOF,THE SPORTS FACILITIES,
1,HICKS GATE ROUNDABOUT WEST,19/11/2013,bright & dry,,SLOPES GENTLY UP FROM THE A4 - BISECTED BY THE RAILWAY CUTTING BEFORE HANHAM GORGE & THE RIVER AVON,,MIXTURE OF DIFFERENT SIZED OPEN FIELDS,,UNDEVELOPED FARMLAND,trees bushes hedges areas-of-intense-greenery,,area-used/inhabited-by-wildlife,ARABLE PASTURE AND MATURE TREES AND HEDGES,,A FEW UNMADE FOOTPATHS,,NONE,"OPEN VIEWS OF LANSDOWN, HANHAM MILLS, STOCKWOOD AND FRY'S FACTORY",VIEWS DOWN FROM STOCKWOOD,,NOT APPLICABLE,,NOT APPLICABLE,,NOT APPLICABLE,,NOT APPLICABLE,OPEN GREEN BELT LAND WITH MATURE TREES AND HEDGES,BISECTED BY A4 AND RAILWAY. BOUNDARY TO THE EAST OF THE RING ROAD. SMALL AREA OF SCRUB TO THE SOUTHERN CORNER - NEGLECTED AND CUT OFF BY ROADS.
69,"LAND NORTH OF THE RAILWAY LINE INCLUDING KEYNSHAM STATION, THE BRASSMILL, WANSDYKE WORKSHOPS AND THE SEWAGE WORKS",06/04/2013,overcast showery,flat,,irregular buildings-well-set-back no-obvious-centre,COMMERCIAL CENTRE,gaps-between-buildings well-used,,trees bushes hedges areas-of-intense-greenery,,area-used/inhabited-by-wildlife,ONLY BIRDS WITNESSED BUT THERE MUST BE LOTS OF OTHER WILDLIFE BEING PART OF THE GREEN BELT AND CLOSE TO THE RIVER AVON,narrow-roads parking-courts,"DEAD END LANE ACCESSED VIA ROAD OFF AVON MILL LANE AND THE TRACK FROM BROADMEAD LANE, SITE AREA INCLUDES THE STATION CAR PARK AND PARKING AT THE BRASS MILL PUBLIC HOUSE",,RIVER AVON AND BRASS MILL PUBLIC HOUSE,VIEWS OUT ACROSS THE GREEN BELT AND RIVER AVON,VIEWS IN FROM THE RIVER,detached 1-storey,"BUILDINGS ALL COMMERCIAL - PUBLIC HOUSE, SEWAGE WORKS FACTORIES/OFFICES AND RECYCLING CENTRE",flat-roofs pitched-roofs,,some-common brick stone tile walls hedges tarmac concrete,,,,CLOSE TO THE RIVER IN THE GREEN BELT,THE SEWAGE WORKS AND RECYCLING CENTRE ALTHOUGH A NECESSITY DO NOT ADD ANYTHING TO THE AMBIANCE OF THE GREEN OPEN SPACE UP TO THE RIVER
35,"NORTH OF CORONATION AVENUE INCLUDING SOME PROPERTIES ON CAERNARVON PLUS DARTMOUTH WALK, KENILWORTH CLOSE, DURHAM GROVE, WARWICK ROAD, RICHMOND CLOSE & FARLEIGH",03/03/2014,dry,,GENTLY SLOPING,grid-like irregular buildings-well-set-back front-gardens back-gardens long-plots thin-plots short-plots no-obvious-centre,A COUPLE OF WIDE PLOTS,gaps-between-buildings green-spaces hard-space well-used,,trees bushes hedges green-backcloth-to-buildings,OPEN GRASS SQUARES OF PUBLIC SPACE. SEE PHOTO BELOW,,URBAN AREA SO MAINLY WILD BIRDS VISITING GARDENS,pavements kerbs grass-verges wide-roads narrow-roads straight-roads curving-roads cul-de-sacs through-roads on-plot-parking on-street-parking parking-courts,"THROUGH ROADS - FARLEIGH CONNECTING CORONATION AVENUE AND WARWICK ROAD AND TENBY ROAD CONNECTING QUEENS ROAD AND WARWICK ROAD, CUL-DE-SACS INCLUDE RICHMOND CLOSE, KENILWORTH CLOSE AND DURHAM GROVE. NOTE: ALL ROADS NAMED AFTER CASTLES ON THIS ESTATE",,NO LAND MARKS,THE KELSTON HILLS CAN BE SEEN IN THE DISTANCE FROM DURHAM GROVE. SEE PHOTO PREVIOUS PAGE.,ONLY FROM OTHER ESTATES,narrow-frontages terraced semi-detached 2-storeys varied-shapes,THE MAJORITY OF THE PROPERTIES ARE TERRACED,pitched-roofs,,some-common brick render hung-tile walls hedges fences tarmac concrete,,,,"SITE AREA IS DIVIDED INTO SMALL CLUSTER GROUPS OF TERRACED OR SEMI DETACHED PROPERTIES - A GOOD COMMUNITY FEEL, CLOSE TO SCHOOLS, CHURCHES AND AMENITIES ON QUEENS ROAD","OLDER STOCK OF PROPERTIES - MAINLY OF A SIMILAR STYLE, LACKING A BIT OF CHARACTER"
99,"WEST OF MEDWAY DRIVE INCLUDING MEDWAY CLOSE, DENE CLOSE PLUS PROPERTIES ON HURN LANE AND MANOR ROAD",13/02/2014,"cold, sunny periods & clouds",shallow,,winding buildings-well-set-back no-obvious-centre,,gaps-between-buildings,GREEN VERGE IN THE MIDDLE OF MEDWAY DRIVE (SEE PHOTO),trees bushes hedges,URBAN GARDENS WITH SEVERAL MATURE TREES,area-used/inhabited-by-wildlife,"MAINLY BIRDS, PROBABLY SMALL MAMMALS AND INSECTS IN SUMMER",pavements kerbs grass-verges wide-roads narrow-roads cul-de-sacs on-plot-parking on-street-parking,,,NO APART FROM MEDWAY DRIVE TREES,END OF MANOR ROAD/HURN LANE. VIEW DOWN THE CHEW VALLEY.,MANOR ROAD PLAYING FIELDS,detached,MAINLY DETACHED,pitched-roofs steep-pitch,,some-common brick stone tarmac paving-stones,,,NONE,WELL CARED FOR URBAN SPACE WITH SOME ENVIRONMENTALLY INTERESTING FEATURES,"A BIT BLAND, NO CENTRE, URBAN HOUSING"
44,KEYNSHAM ALLOTMENTS - PARK ROAD,,overcast & light showers,,"SLOPES GRADUALLY FROM TOP (FARM END - SOUTHERN BOUNDARY), DOWN TO THE ENTRANCE GATE",regular long-plots thin-plots,THERE ARE APPROXIMATELY 60 SMALL SHEDS,well-used,,trees bushes hedges,VIRTUALLY EVERY PLOT IS WORKED FOR THE SPRING/SUMMER/AUTUMN MONTHS,area-used/inhabited-by-wildlife,"THERE IS ALWAYS EVIDENCE OF BADGERS, DEER, RABBITS, RATS HAVING BEEN IN THE AREA",grass-verges drainage-ditches narrow-roads on-plot-parking,,,NONE,IT IS POSSIBLE TO VIEW AREAS AND LANDSCAPES WHEREVER YOU ARE ON THE ALLOTMENT SITE,THERE IS A WALKWAY ACCESS ON THREE SIDES OF THE SITE WHICH WOULD ENABLE VIEWS INTO THE ALLOTMENT AREA,,SHEDS (APPROXIMATELY 60),shallow-pitch,,stone walls hedges fences,"WIRE FENCING TO THREE BOUNDARY SIDES, SMALL SECTION OF DRY STONE WALL",,,THE VIEW TOWARDS THE CHEW VALLEY AND HILLS IN THE BACKGROUND. THE OPENNESS AND TRANQUILITY OF THE SITE,THERE IS A NEW HOUSING ESTATE BEING BUILT ALONG ONE BOUNDARY. AT THE MOMENT THIS IS DETRACTING FROM THE USUAL TRANQUILITY OF THE ALLOTMENT SITE.
106,"WEST OF LYTES CARY ROAD INCLUDING NUNNEY CLOSE, MELLS PLUS PROPERTIES ON COURTENAY ROAD AND LYTES CARY ROAD",07/12/2013,,,SLIGHTLY INCLINED,front-gardens back-gardens long-plots thin-plots short-plots wide-plots,,green-spaces hard-space places-where-local-events-take-place,CLOSE BY MANOR ROAD PLAYING FIELD,trees bushes hedges areas-of-intense-greenery,,area-used-for-wildlife-to-pass-through,,,THIS AREA HAS ALL OF THE ABOVE APART FROM PARKING COURTS,,THERE ARE NO VISIBLE LAND MARKS,THERE ARE VIEWS OUT TO DISTANT HILLS,THERE ARE VIEWS IN FROM MANOR ROAD,wide-frontages narrow-frontages semi-detached 1-storey 2-storeys,,varied-pitch,,some-common brick stone render tile walls hedges fences tarmac concrete paving-stones,,porches chimneys benches letter-boxes,,"QUIET CLEAN TIDY AREA. IT IS A FRIENDLY NEIGHBOURHOOD, THE HOUSES ARE WELL KEPT, GARDENS ARE TIDY AND COLOURFUL",
48,CORONATION AVENUE EAST OF CEDAR DRIVE INCLUDING PROPERTIES SOUTH OF DUNSTER ROAD,14/12/2013,cloudy,flat,,linear regular buildings-close-to-the-road front-gardens back-gardens no-obvious-centre,VARYING SIZED PLOTS,gaps-between-buildings green-spaces,SOME GREEN SPACE - VERGES,trees bushes hedges,,,MAINLY BY WILD BIRDS,pavements kerbs grass-verges wide-roads wide-roads-wide curving-roads on-plot-parking on-street-parking,DUNSTER ROAD IS A THROUGH ROAD FROM CORONATION AVENUE TO PARK ROAD,,NO VISIBLE LANDMARKS,PROPERTIES ON DUNSTER ROAD DID HAVE VIEWS OUT ON TO COUNTRYSIDE - K2B - THIS IS NOW A HOUSING DEVELOPMENT UNDER CONSTRUCTION (SEE CHARACTER ASSESSMENT 43),VIEWS IN ONLY FROM ESTATE ROADS,terraced semi-detached 2-storeys varied-shapes,THE MAJORITY OF PROPERTIES ON CORONATION AVENUE AND DUNSTER ROAD WITHIN THE SITE AREA ARE SEMI-DETACHED,pitched-roofs,THE MAJORITY OF THE HOUSES HAVE THE SAME PITCHED ROOF,some-common brick render tile hedges fences tarmac,THE MAJORITY OF HOUSES ARE BRICK OR RENDERED OR A COMBINATION OF THE TWO,,,"ON THE OUTSKIRTS OF TOWN BUT CLOSE TO AMENITIES E.G. PRIMARY SCHOOL, NOT FAR FROM OPEN COUNTRYSIDE",NEW DEVELOPMENT MAY IMPACT ON THIS SITE AREA IN RESPECT OF AN INCREASE IN THE VOLUME OF TRAFFIC BUT ONLY THE FUTURE WILL TELL!
47,TOWN CENTRE CONSERVATION AREA WEST OF THE HIGH STREET,20/01/2014,cloudy,flat,,linear buildings-well-set-back no-obvious-centre,"PROPERTIES COMMERCIAL, RETAIL AND SOME RESIDENTIAL ABOVE",gaps-between-buildings,"VERY FEW GAPS BETWEEN BUILDINGS - ALLEY WAY FROM THE HIGH STREET TO ASHTON WAY, ALLEY WAY FROM THE HIGH STREET TO TESCO STORE - THE ARCHWAY TO THIS ALLEY WAY NEXT TO THE OLD BANK PUBLIC HOUSE IS GRADE II LISTED. FURTHER ALLEYS WAYS TO LEADING TO THE REAR OF PROPERTIES",trees,,,ONLY BIRDS - NOT AWARE OF ANY OTHER WILDLIFE UNLESS FREQUENTED AT NIGHT,pavements kerbs wide-roads wide-roads-wide straight-roads on-street-parking,LIMITED ON STREET PARKING WITHIN SMALL BAYED AREAS - ONE NEAR THE FEAR INSTITUTE AND ONE NEAR KEYNSHAM CARS TAXI FIRM BOTH AT THE NORTHERN END OF THE HIGH STREET,,ST. JOHN'S CHURCH TOWER,THERE ARE NO VIEWS OUT,"VIEWS IN FROM THE CHURCH TOWER OR BATH & NORTH EAST SOMERSET COUNCILS OFFICE, TOP FLOORS.",wide-frontages narrow-frontages terraced semi-detached 1-storey 2-storeys 3-storeys varied-shapes,"FROM THE PHOTOS YOU WILL SEE THE VARIOUS DESIGNS OF BUILDINGS, A RESULT OF DEMOLITION AND RECONSTRUCTION OVER THE AGES. MANY CONSTRUCTION PROJECTS TAKING PLACE IN THE 1960'S AND 1970'S OLD VICTORIAN PROPERTIES DEMOLISHED. E.G. 1970 THE LAMB AND LARK HOTEL HIGH STREET, THREE STOREY BUILDINGS SIT NEXT TO TWO STOREY. PITCHED ROOF ABUT FLAT ROOFS.",flat-roofs pitched-roofs varied-pitch,"NUMEROUS ROOF STYLES, AS CAN BE SEEN FROM THE PHOTOS.",nothing-common brick stone render tile tarmac concrete,A VERY DIVERSE RANGE OF MATERIAL USED IN THE CONSTRUCTION OF BUILDINGS WITHIN KEYNSHAM. THERE IS NO ONE STYLE.,,"ART DECO STYLES IN PIZZA MAGIC PREMISES. OLD STONE WORK IN LISTED BUILDINGS - THE OLD MANOR HOUSE HOTEL BUILT IN 1609, THE PROPERTY WAS FORMERLY THE ABBOT'S HOUSE, IT IS NOW FULL RESTORED AND RENOVATED WHILST KEEPING ITS PERIODIC CHARM.","BUSY TOWN CENTRE WITH VERY FEW EMPTY SHOPS, EXCELLENT COMMUTING LINKS AND PUBLIC TRANSPORT SERVICES TO BATH AND BRISTOL","THE DEMOLITION AND DESTRUCTION OF MANY OF THE TOWNS HISTORIC BUILDINGS. THE TOWN WAS ONCE A THRIVING MARKET TOWN. THERE IS VERY LITTLE EVIDENCE OF THIS NOW APART FROM A SMALL FARMERS MARKET HELD ON THE SECOND SATURDAY OF EVERY MONTH, OLDER BUILDINGS ARE PROTECTED BY ENGLISH HERITAGE LISTING (SEE LISTED BUILDINGS LIST)"
27,"WEST OF LOCKINGWELL ROAD INCLUDING PROPERTIES IN ORCHARD CLOSE, WHEATHILL CLOSE, HEATHFIELD CLOSE PLUS BROADLANDS HOUSE AND KEJUPARI (THE FARM)",20/11/2013,sunny,hilly shallow,,regular irregular back-gardens long-plots thin-plots short-plots wide-plots no-obvious-centre,THERE ARE 4 CLOSES OFF LOCKINGWELL ROAD,gaps-between-buildings green-spaces not-well-used,GREEN SPACES ARE WIDE VERGES WITH TREES,trees bushes hedges green-backcloth-to-buildings,,area-used/inhabited-by-wildlife,"THERE ARE GARDENS AND FIELDS TO SUPPORT WILDLIFE, FOXES, BADGERS AND BIRDS",pavements kerbs grass-verges narrow-roads straight-roads curving-roads cul-de-sacs through-roads on-plot-parking on-street-parking,,,NOT APPLICABLE,THERE ARE VIEWS OUT TO STOCKWOOD VALE FROM THE END OF ST. FRANCIS ROAD,THERE ARE VIEWS IN FROM THE FIELDS BEHIND HEATHFIELDS & WHEATFIELD,semi-detached 1-storey 2-storeys varied-shapes,,flat-roofs pitched-roofs varied-pitch,,nothing-common brick stone render tile walls hedges fences tarmac concrete paving-stones,,porches window-shapes chimneys letter-boxes,,"THE AREA IS CLOSE TO THE FIELD AND FOOTPATHS, THE AREA IS CLOSE TO SHOPS AND SCHOOL, IT IS QUIET(ISH) AND FRIENDLY","DOG FAECES ON THE PAVEMENTS, ANTI SOCIAL BEHAVIOUR (TREES BURNT & WINDOWS BROKEN), THROUGH TRAFFIC FROM ST. LADOCS/ST. GEORGES ROADS TO CHARLTON ROAD BECAUSE THE ST. LADOCS/CHARLTON ROAD JUNCTION IS A BLIND SPOT WHICH CARS TO CHOOSE TO AVOID"
67,SOUTH OF ALBERT ROAD INCLUDING CORFE CRESCENT,17/11/2013,grey drizzle,hilly,,buildings-well-set-back front-gardens back-gardens long-plots,,hard-space,,trees bushes green-backcloth-to-buildings,,area-used/inhabited-by-wildlife,LARGE BACK GARDENS FOR WILDLIFE,pavements straight-roads on-plot-parking,,,THERE ARE NO LANDMARKS NOW. IN THE PAST THERE WAS AN OLD WORKHOUSE/HOSPITAL BUT THAT HAS ALREADY BEEN DEMOLISHED WHICH IS A VERY GREAT SHAME FOR THE AREA.,"VIEWS OF THE TREES OF KEYNSHAM MEMORIAL PARK, LANDSOWN HILLS AND KELSTON ROUND TOP",THERE ARE NO VIEWS IN.,narrow-frontages terraced 2-storeys varied-shapes,,pitched-roofs varied-pitch,,some-common brick stone render tile walls fences tarmac setts,"LOCAL KEYNSHAM BLUE LIAS STONE, 'KEYNSHAM' STYLE SASH WINDOWS THAT ARE NOW VERY RARE",window-shapes chimneys,"MOSTLY VICTORIAN TERRACED HOUSES BUT ALSO SEMI DETACHED, ALSO, A 1960'S ESTATE",THERE ARE A VARIETY OF PROPERTY TYPES. THE FRONT GARDENS GIVE OFF ROAD PARKING. THERE ARE LARGE BACK GARDENS,"THE SPEED AND VOLUME OF TRAFFIC ON ALBERT ROAD, CORFE CRESCENT LOOKS AS IF SOME OF THE PROPERTIES ARE BEGINNING TO BECOME RUN DOWN WHICH IS NOT HELPED BY A SEPARATE PARKING AREA WHICH IS NOT 'OWNED' BY ANYONE IN PARTICULAR. THOUGH THE MAJORITY OF PROPERTIES ARE IN GOOD CONDITION"
97,TEVIOT ROAD PLAY AREA,20/11/2013,dry,flat,,buildings-well-set-back clear-centre,,well-used,,trees hedges,,area-used-for-wildlife-to-pass-through,,drainage-ditches,,,KELSTON HILLS ARE VISIBLE IN THE DISTANCE,THERE ARE GAPS IN THE HEDGES WITH VIEWS OUT ONTO OPEN FARMLAND AND HILLS,AS ABOVE,terraced 2-storeys,,pitched-roofs,,,BRICK BUILT HOUSES LOOKING ON TO THE PLAYGROUND,,,"THE AREA IS WELL USED BY YOUTHS, THE LAND IS POPULAR WITH DOG WALKERS AND RAMBLERS.",OLD BENCH (BROKEN)
103,MANOR ROAD PLAYING FIELD,31/10/2013,cloudy,,FLAT - SLIGHT INCLINE FROM ROAD LOOKING UP TO BANKS ON SOUTH EAST CORNER,,BUILDING WELL SET BACK. THE SITE HAS A CLEAR CENTRE,,SITE IS A GREEN SPACE & A PLACE WHERE LOCAL EVENTS TAKE PLACE,,,,ONLY BIRDS AND INSECTS AS TH AREA IS USED BY DOG WALKERS,,THERE ARE PAVEMENTS & KERBS AROUND SOME EDGES. GRASS VERGES ON ONE SECTION AND SOME ON PLOT PARKING,,PAVILION BUILDING AND SOME LARGE TREES,VIEWS OUT THE SITE ARE OVER KELSTON HILLS AND BITTON,FROM THE ROADSIDE AND PATH VIEWS ARE OFF THE OPEN SPACE OF THE PLAYING FIELD,,"THE PAVILION HAS A WIDE FRONTAGE IS DETACHED AND 1 STOREY, THERE IS ALSO AN ELECTRIC METER BUILDING (THE LIME SHED)",,PAVILION ROOF IS FLAT,,"BOUNDARIES ARE EITHER WALLS, FENCING AND HEDGES",,THE SITE HAS BENCHES,"THE SITE IS MULTI-USED BY FOOTBALLERS, PUBLIC DOG WALKERS AND IS USED AS AN AMENITY AREA WHEN THE FOOTBALL GOALS ARE TAKEN DOWN IN THE SUMMER. THE SITE IS POPULAR WITH COMMUNITY GROUPS - GUIDES, SCOUTS & CHURCH GROUPS.","THE OCCASIONAL MIS-USE OF THE GRASS BY CARS, HORSES. OCCASIONAL USE BY GOLFERS. GROUPS USING THE SITE FOR BARBEQUES"
85,"WELLSWAY ACADEMY, CHANDAG JUNIOR SCHOOL AND CHANDAG INFANT SCHOOL",28/01/2014,wet,flat hilly shallow,,irregular buildings-well-set-back no-obvious-centre,,gaps-between-buildings green-spaces hard-space places-where-local-events-take-place well-used,,trees bushes hedges areas-of-intense-greenery,LARGE PLAYING FIELDS ATTACHED TO THE SCHOOL,area-used/inhabited-by-wildlife,THE ACADEMY HAS ITS OWN WILD LIFE GARDEN WITH A POND.,drainage-ditches straight-roads parking-courts,,,NO LANDMARKS,THERE AE VIEWS OUT ACROSS THE PLAYING FIELDS. KELSTON ROUND HILL IS VISIBLE AND THE FIELDS BEHIND,THERE ARE VIEWS IN FROM HOUSES AND LOCAL SHOPS.,semi-detached 1-storey 3-storeys common-shapes varied-shapes,"THERE IS ONE HOUSE ON SITE - THE FORMER CARETAKERS HOME NOW USED FOR EDUCATIONAL PURPOSES, A FEW DIFFERENT STOREYS TO BUILDINGS",flat-roofs pitched-roofs steep-pitch shallow-pitch varied-pitch lean-tos,,brick stone hung-tile slate walls hedges fences tarmac concrete setts paving-stones,,,"PVC WINDOWS, CARS, BINS, GRAFFITI, PORCHES AND CHIMNEYS CONTRIBUTE WELL","IT IS VERY QUIET, CLOSE TO SHOPS AND TAKEAWAYS","GRAFFITI, SOME LITTER AND TOO MANY COUNCIL HOUSES IN THE AREA."
32,ST. KEYNA PRIMARY SCHOOL AND ST. KEYNA NURSERY SCHOOL PLUS A FEW PROPERTIES ON CHARLTON ROAD AND KELSTON ROAD,16/01/2014,drizzle,shallow,,irregular,"MIX OF BUILD - SCHOOL, PRIVATE NURSERY AND LARGE HOUSES INCLUDING NURSING HOME. TO THE SOUTH EAST OF THE SITE THERE IS EMPTY GROUND WHERE THE OLD SCHOOL STOOD. RIPE FOR DEVELOPMENT",gaps-between-buildings places-where-local-events-take-place,,green-backcloth-to-buildings,,,"FOXES, BATS (HEARSAY) AND BIRDS",pavements kerbs narrow-roads curving-roads on-plot-parking,,,KELSTON PARK - OPEN SPACE WITH COUNCIL PLAY AREA.,,"YES, FENCED SCHOOL",wide-frontages 3-storeys varied-shapes,,flat-roofs pitched-roofs varied-pitch,THE SCHOOL AND NURSERY HAVE FLAT ROOFS. THERE ARE MIXED STEEP AND SHALLOW PITCHED ROOFS,nothing-common,,porches window-shapes,,OPEN VIEWS. NEW SCHOOL & NURSERY,TRAFFIC ON MAIN ROAD (CHARLTON)
22,"LAND SOUTH OF ST. FRANCIS ROAD TO ST. GEORGE'S ROAD INCLUDING PROPERTIES ON LOCKINGWELL ROAD IN WINSCOMBE CLOSE, ST. ANNE'S AVENUE AND ST. MARGARET'S CLOSE",14/11/2013,,,"LOCKINGWELL ROAD - FLAT, ST. FRANCIS ROAD - SLOPING, ST. MARGARET'S CLOSE - SLOPING, ST. ANNE'S - SLOPING - ST. ANNE'S COURT - PRIVATE LAND SIGNAGE, ST. GEORGE'S ROAD - SLOPING",front-gardens back-gardens no-obvious-centre,"LOCKINGWELL ROAD - WINDING (SEMI), ST. FRANCIS - STRAIGHT ROAD, ST. ANNE'S ROAD - SOME OFF STREET PARKING - PARKING AT THE BACK OF ST. GEORGE'S ROAD, WINSCOMBE CLOSE, ST. GEORGES ROAD - TERRACED HOMES AND SOME OFF STREET PARKING",,"LOCKINGWELL ROAD - SEMI DETACHED HOUSES, ST. FRANCIS ROAD - SEMI DETACHED 1930'S HOUSES, ST. ANNE'S COURT AT THE BACK OF ST. GEORGES ROAD, ST. ANNE'S ROAD - HAS A SMALL PARK",trees bushes hedges,,,,grass-verges through-roads on-plot-parking on-street-parking,"LOCKINGWELL ROAD - CURVED ROAD ON PLOT PARKING, ST. FRANCIS - STRAIGHT ROAD WITH ON PLOT PARKING. SOCIAL HOUSING AT THE BOTTOM OF THE ROAD. ST. MARGARET'S CLOSE - CLU-DE-SAC/CURVE, ST. ANNE'S COURT - PRIVATE PARKING AT THE BACK OF ST. GEORGES ROAD",,"LOCKINGWELL ROAD - NO LANDMARKS, ST. FRANCIS ROAD - NO LANDMARKS, ST. ANNE'S COURT - NO LANDMARKS, ST. MARGARET'S CLOSE - NO LANDMARKS",ST. FRANCIS ROAD - VIEWS OF COUNTRY HILL. TREE LINED ROAD,MARGARET'S CLOSE - SMALL VIEW OF HILLS,,"LOCKINGWELL ROAD - 1960'S SEMI DETACHED HOUSES, ST. FRANCIS ROAD, ST. MARGARET'S - ON THE NORTH SIDE ARE BUNGALOWS. THE SOUTH BACK ONTO ST. ANNE'S ROAD",varied-pitch,LOCKINGWELL ROAD AND ST. FRANCIS - STANDARD ROOFS,,"LOCKINGWELL ROAD - BRICK & STONE WORK, DT. FRANCIS ROAD - BRICK, STONE AND RENDERED WALLS",,,PLEASANT TREE LINED ROAD - ST. FRANCIS ROAD,
100,"NORTH OF MANOR ROAD INCLUDING WAVENEY ROAD, EVENLODE WAY, CONWAY GREEN PLUS PROPERTIES OFF HURN LANE, MEDWAY DRIVE AND ON MANOR ROAD",15/11/2013,light and dry,,,,,,,,SOME GREENERY,,"BIRDS, RODENTS AND INSECTS",,,,NONE,THERE ARE NO VIEWS OUT,THERE ARE NO VIEWS IN,,SOME BUNGALOWS,,,,,,,"QUIET URBAN SET OF STREETS, SOME OPEN SPACE, MADE UP OF 60'S STYLE ONE AND TWO STOREY BUILDINGS.","NARROW STREET, ON STREET PARKING IS AN ISSUE."
77,"BATH HILL/BATH ROAD (NORTH OFF) INCLUDING THE KINGDOM HALL, THE OLD POLICE STATION, THE TALBOT, HOMEAVON HOUSE AND PROPERTIES ON THE BATH ROAD",13/11/2013,mild,,"THE APPROACH FROM BATH IS STEEP WITH LEAD OFF TO THE POLICE STATION & CAR PARK, LEVELLING AT THE BROW ONTO BATH ROAD",,PRACTICALLY ALL BUILDINGS ARE WELL SET BACK WITH GOOD SIZE FRONT & BACK GARDENS. A 3 STOREY HOUSE OPPOSITE THE JUNCTION OF CHANDAG ROAD IS AT THE POINT OF A PLANNED ROUNDABOUT AND NEARBY ZEBRA CROSSING. THIS IS A STRAIGHT BUSY ROAD,,GAPS ARE MINIMAL BUT ACCEPTABLE,,,,,,"THE ROAD IS STRAIGHT WITH A LEAD OFF TO THE BUSY CHANDAG ROAD AND A CUL- DE-SAC HILLS CLOSE, ON THE SOUTHSIDE. UNITY ROAD ON THE NORTHSIDE LEADS TO A SMALL PRIVATE HOUSING ESTATE. THIS ESTATE LEADS THROUGH TO THE BRIDGE AT THE BOTTOM OF BATH HILL - HEADING WEST.",,IN THE DISTANCE ST. JOHN'S CHURCH KEYNSHAM IS VIEWABLE FROM HOUSES ON BATH HILL,FRONT & REAR VIEWS OUT ARE LIMITED SOLELY TO HOUSES & COMMERCIAL SITES.,THERE ARE NO VIEWS IN.,,THERE IS A CHOICE AND VARIETY OF DWELLINGS. A FULL RANGE OF DESIGNS OF VARIED SHAPES AND STYLES.,,"THE ROOFS ARE MAINLY PITCHED WITH ON , 31 AND 33 PARTLY HIDDEN",,"ASSORTMENT OF MATERIAL, BRICK, STONE & RENDER. BOUNDARIES OF WALLS, TREES & HEDGES. ALL HOUSES WITH VEHICULAR ACCESS ON TO TARMAC, PAVING OR CHIPPINGS",,PORCHES & WINDOW SHADES,ATTRACTIVE AREA WITH A WELL APPOINTED PUBLIC HOUSE & HOUSES THAT ARE WELL TENDED,
55,"TOWN CENTRE NOT IN CONSERVATION AREA - TOWN CENTRE RETAIL, OFFICE SPACE AND CAR PARKING",15/11/2013,grey/overcast,,MOSTLY FLAT - SLOPING DOWN TO THE RIVER,,OFFICE BUILDINGS & FLATS CLOSE TO ROAD. WIDE CONCRETE AREAS,,HARD SPACE/BUILDINGS. SOME GAPS BETWEEN THE BUILDINGS. WELL USED AREA PRESENTLY UNITARY AUTHORITY OFFICES.,,,,"WILDLIFE IN AREA DUE TO PROXIMITY TO PARK, RIVER AND POND",,"ON-STREET PARKING, PAVEMENTS, KERBS, THROUGH ROADS PATHS.",,"PUBLIC HOUSE, PARK, POND",THERE ARE VIEWS OUT TO THE RIVER,THE END OF THE HIGH STREET GIVES VIEWS IN,wide-frontages terraced 1-storey 2-storeys 3-storeys,VARIATION OF SHOPS/OFFICE/APARTMENT BLOCKS. LOT OF PREDOMINANT BRICK BUILDINGS (LARGE),,ALL ROOFS ARE FLAT EXCEPT FOR THE PUBLIC HOUSE,,"BRICK BUILDINGS, VAST CONCRETE AREAS, ROOFS FLAT",,VERY CHARACTER LESS AREA!,IT IS A THROUGH WAY TO GREEN SPACE,"GREY AND UNATTRACTIVE, NO GREENERY - 'CONCRETE JUNGLE' EXPERIENCE"
